순위,상품명,가격,쇼핑몰명,판매자_설정_태그,URL,is_ad
1,양면 뽀글이가방 뽀글이숄더백 겨울에코백,9900,몽소르베,#숄더백 #겨울 #에코,https://smartstore.naver.com/main/products/9439354001,False
2,뽀글이가방 겨울 털가방 퍼 양털 밍크 여성 미니 핸드백 사각토트백 가벼운 부드러운 캐주얼,18400,오쎄오-OSEO,#겨울 #가방 #양털 #밍크 #여성 #미니 #핸드백 #사각 #캐주얼,https://smartstore.naver.com/main/products/7383414298,False
3,호주어그 오즈웨어 지아나 미니 토트 뽀글이 양털 컬리백,58500,시드니팡즈맘,#호주 #어그 #오즈웨어 #지아 #미니 #토트 #양털 #컬리,https://smartstore.naver.com/main/products/10860162429,False
4,오즈웨어 사각 토트백겸 솔더백 양털 뽀글이 어그가방,48200,호주별마켓,#오즈 #웨어 #토트 #양털 #가방,https://shopping.naver.com/outlink/itemdetail/12212359844,False
5,[드파운드] 푸들백 토트백 퍼 양털 뽀글이,71250,더블유컨셉,#푸들 #토트 #양털,http://www.wconcept.co.kr/Product/303871356?adfrom=naver_ep&utm_source=NAVER&utm_medium=PCS&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,False
6,ornoor 오르누르 뽀글이 양털 토트백,38000,오르누르,#ornoor #양털 #토트백,https://smartstore.naver.com/main/products/5181306521,False
7,미니 뽀글이 양털 가방 털가방 버킷백,15900,굿세라,#미니 #양털 #가방 #버킷,https://smartstore.naver.com/main/products/11335161427,False
8,[아디다스] 폴라 폴리스 숄더백 원더 화이트 뽀글이 양털 보부상백 II3399,59900,재팬윈도,#아디다스 #폴라 #폴리스 #숄더백 #원더 #화이트 #양털 #보부상 #II,https://smartstore.naver.com/main/products/12584991039,False
9,(무료배송)리버시블 테디백 스웨이드 무스탕 양털 뽀글이가방 핸들백,38610,오직유 NEW,#무료 #배송 #리버시블 #스웨이드 #무스탕 #양털 #가방 #핸들,https://smartstore.naver.com/main/products/7765026217,False
10,뽀글이가방 리버시블 털 보부상 가방 휘뚜루마뚜루 가방,14100,빙글이네,#가방 #리버시블 #보부상,https://smartstore.naver.com/main/products/9152892415,False
11,헤지스 뽀글이 퍼 미니 크로스백 HIBA5FE1,92270,,#헤지스 #미니 #크로스 #HIBA #FE,https://m.shopping.naver.com/product/57740913718,False
12,뽀글이 가방 동글이 겨울 양털 밍크 부드러운 털가방 토드백 미니뽀글이호보백,16200,와우아이디,#가방 #겨울 #양털 #밍크 #토드백 #미니뽀글이호보백,https://smartstore.naver.com/main/products/10996820390,False
13,헬로키티 뽀글이백 여 가을 겨울 라지 토트백 귀여운 학생 백팩  백색  사이즈참고,22490,쿠팡,#헬로 #키티 #가을 #겨울 #토트백 #학생 #백색 #사이즈 #참고,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8553663265&ctag=8553663265&lptag=P8553663265&itemId=24768215645&vendorItemId=94195898570&spec=10305199,False
14,자라 가방 체리 핸드백 여성 가을 버킷 숄더백 핸드폰백 포인트백 토트백 털 뽀글이 ZARA,19900,클래식 박스,#가방 #체리 #핸드백 #여성 #가을 #버킷 #숄더백 #핸드폰 #포인트 #토트백 #ZARA,https://smartstore.naver.com/main/products/11975645419,False
15,밍크가방 뽀글이 에코퍼 페이크퍼 겨울손 가방,24800,남산종합몰,#밍크 #가방 #에코 #페이크 #겨울,https://smartstore.naver.com/main/products/12584716637,False
16,호주 오즈웨어 어그 모모 시어링 뽀글이 숄더백 크로스백 토트백,54188,크로켓Croket,#호주 #오즈웨어 #어그 #모모 #시어링 #숄더백 #크로스 #토트백,https://www.croket.co.kr/seller/product/677cc2e2d090ef9efc6bd7f7?yg_type=naver_shopping&yg_method=677cc2e2d090ef9efc6bd7f7&utm_source=naver&utm_medium=shopping&utm_campaign=677cc2e2d090ef9efc6bd7f7&utm_content={keyword}&utm_term={query},False
17,랄라 소가죽 천연 양모 뽀글이 초미니 토트 양털 겨울 가방 h3089,62000,볼뉴,#랄라 #가죽 #천연 #양모 #미니 #양털 #겨울 #가방,https://smartstore.naver.com/main/products/5985902574,False
18,[아이윤] 아이보리 겨울 뽀글이 양털 토트백,48000,아이윤 iyoon,#아이보리 #겨울 #양털 #토트백,https://smartstore.naver.com/main/products/7489300755,False
19,[뽀글이 토트백]뽀글이가방 뜨개 자이언트얀 두꺼운 겨울 니팅백 푸들 수면사 핸드메이드,26000,덕솜이네,#토트 #뜨개 #자이언트 #겨울 #푸들 #수면 #핸드 #메이드,https://smartstore.naver.com/main/products/7488393359,False
20,뽀글이가방 미니 토트백 양털 퍼 겨울 털가방,16700,와나브,#미니 #토트 #양털 #겨울 #가방,https://smartstore.naver.com/main/products/11022061913,False
