순위,태그명,사용_빈도
1,#양털,12
2,#가방,10
3,#겨울,9
4,#미니,6
5,#토트,5
6,#토트백,5
7,#숄더백,4
8,#밍크,3
9,#에코,2
10,#여성,2
11,#핸드백,2
12,#호주,2
13,#어그,2
14,#오즈웨어,2
15,#푸들,2
16,#버킷,2
17,#보부상,2
18,#리버시블,2
19,#크로스,2
20,#가을,2
21,#사각,1
22,#캐주얼,1
23,#지아,1
24,#컬리,1
25,#오즈,1
26,#웨어,1
27,#ornoor,1
28,#아디다스,1
29,#폴라,1
30,#폴리스,1
31,#원더,1
32,#화이트,1
33,#II,1
34,#무료,1
35,#배송,1
36,#스웨이드,1
37,#무스탕,1
38,#핸들,1
39,#헤지스,1
40,#HIBA,1
41,#FE,1
42,#토드백,1
43,#미니뽀글이호보백,1
44,#헬로,1
45,#키티,1
46,#학생,1
47,#백색,1
48,#사이즈,1
49,#참고,1
50,#체리,1
51,#핸드폰,1
52,#포인트,1
53,#ZARA,1
54,#페이크,1
55,#모모,1
56,#시어링,1
57,#랄라,1
58,#가죽,1
59,#천연,1
60,#양모,1
61,#아이보리,1
62,#뜨개,1
63,#자이언트,1
64,#수면,1
65,#핸드,1
66,#메이드,1
